driver,team,compound,tyre_life,lap_number,stint,position,air_temp,track_temp,humidity,wind_speed,lap_time_s
HAM,Mercedes,MEDIUM,26,26,1,3,15.1,21.4,68.0,0.7,100.792
RUS,Mercedes,MEDIUM,26,26,1,4,15.1,21.4,68.0,0.7,99.949
LEC,Ferrari,INTERMEDIATE,6,25,2,16,15.1,21.4,68.0,0.7,109.301
PER,Red Bull Racing,INTERMEDIATE,6,25,2,17,15.1,21.4,68.0,0.7,107.327
OCO,Alpine,MEDIUM,4,25,3,18,15.1,21.4,68.0,0.7,107.432
ALO,Aston Martin,MEDIUM,26,26,1,9,15.1,21.4,68.0,0.7,103.618
TSU,RB,MEDIUM,26,26,1,10,15.1,21.4,68.0,0.7,103.26
ALB,Williams,MEDIUM,26,26,1,11,15.1,21.4,68.0,0.7,103.771
MAG,Haas F1 Team,MEDIUM,26,26,1,12,15.1,21.4,68.0,0.7,105.466
SAR,Williams,MEDIUM,26,26,1,13,15.1,21.4,68.0,0.7,104.642
ZHO,Kick Sauber,INTERMEDIATE,6,25,3,19,15.1,21.2,68.0,0.6,108.245
PIA,McLaren,MEDIUM,27,27,1,3,15.1,21.2,68.0,0.6,109.747
LEC,Ferrari,INTERMEDIATE,7,26,2,16,15.0,21.1,70.0,1.0,105.655
PER,Red Bull Racing,INTERMEDIATE,7,26,2,17,15.0,21.1,70.0,1.0,105.736
VER,Red Bull Racing,INTERMEDIATE,2,28,2,4,15.0,21.0,69.0,0.9,101.176
SAI,Ferrari,INTERMEDIATE,2,28,2,6,14.9,20.9,71.0,1.1,102.641
PER,Red Bull Racing,INTERMEDIATE,8,27,2,17,14.9,20.9,71.0,1.1,112.538
HUL,Haas F1 Team,INTERMEDIATE,2,28,2,7,14.9,20.9,71.0,1.1,101.897
STR,Aston Martin,INTERMEDIATE,2,28,2,8,14.9,20.9,71.0,1.1,102.187
RIC,RB,INTERMEDIATE,2,28,2,14,14.9,20.9,71.0,1.1,103.338
BOT,Kick Sauber,INTERMEDIATE,2,28,2,15,14.9,20.7,70.0,0.9,102.562
NOR,McLaren,INTERMEDIATE,2,29,2,1,14.9,20.7,70.0,0.9,100.266
HAM,Mercedes,INTERMEDIATE,2,29,2,2,14.9,20.7,70.0,0.9,100.42
VER,Red Bull Racing,INTERMEDIATE,3,29,2,3,14.9,20.7,70.0,0.9,101.533
RUS,Mercedes,INTERMEDIATE,2,29,2,4,14.9,20.7,70.0,0.9,100.405
SAI,Ferrari,INTERMEDIATE,3,29,2,5,14.9,20.7,70.0,0.9,102.447
HUL,Haas F1 Team,INTERMEDIATE,3,29,2,7,14.9,20.7,72.0,1.0,102.641
STR,Aston Martin,INTERMEDIATE,3,29,2,8,14.9,20.7,72.0,1.0,102.992
ALO,Aston Martin,INTERMEDIATE,2,29,2,9,14.9,20.7,72.0,1.0,103.072
TSU,RB,INTERMEDIATE,2,29,2,10,14.9,20.7,72.0,1.0,103.749
OCO,Alpine,INTERMEDIATE,2,28,4,18,14.9,20.7,72.0,1.0,101.716
ALB,Williams,INTERMEDIATE,2,29,2,11,14.9,20.7,72.0,1.0,101.726
MAG,Haas F1 Team,INTERMEDIATE,2,29,2,12,14.9,20.7,72.0,1.0,102.842
SAR,Williams,INTERMEDIATE,2,29,2,13,14.9,20.7,72.0,1.0,102.215
RIC,RB,INTERMEDIATE,3,29,2,14,14.9,20.7,72.0,1.0,103.377
BOT,Kick Sauber,INTERMEDIATE,3,29,2,15,14.9,20.7,72.0,1.0,103.302
ZHO,Kick Sauber,INTERMEDIATE,2,28,4,19,14.9,20.7,72.0,1.0,101.866
NOR,McLaren,INTERMEDIATE,3,30,2,1,14.8,20.7,73.0,1.7,100.717
HAM,Mercedes,INTERMEDIATE,3,30,2,2,14.8,20.7,73.0,1.7,100.467
VER,Red Bull Racing,INTERMEDIATE,4,30,2,3,14.8,20.7,73.0,1.7,102.098
RUS,Mercedes,INTERMEDIATE,3,30,2,4,14.8,20.7,73.0,1.7,101.237
SAI,Ferrari,INTERMEDIATE,4,30,2,5,14.8,20.7,73.0,1.7,102.737
PIA,McLaren,INTERMEDIATE,2,30,2,6,14.8,20.7,73.0,1.7,100.492
LEC,Ferrari,INTERMEDIATE,2,29,3,16,14.8,20.7,73.0,1.7,101.602
HUL,Haas F1 Team,INTERMEDIATE,4,30,2,7,14.8,20.7,73.0,1.7,102.811
STR,Aston Martin,INTERMEDIATE,4,30,2,8,14.8,20.7,73.0,1.7,103.066
ALO,Aston Martin,INTERMEDIATE,3,30,2,9,14.8,20.7,73.0,1.7,102.577
TSU,RB,INTERMEDIATE,3,30,2,10,14.8,20.7,73.0,1.7,102.967
OCO,Alpine,INTERMEDIATE,3,29,4,18,14.8,20.7,73.0,1.7,102.362
ALB,Williams,INTERMEDIATE,3,30,2,11,14.7,20.7,73.0,1.4,103.271
MAG,Haas F1 Team,INTERMEDIATE,3,30,2,12,14.7,20.7,73.0,1.4,102.133
SAR,Williams,INTERMEDIATE,3,30,2,13,14.7,20.7,73.0,1.4,102.476
RIC,RB,INTERMEDIATE,4,30,2,14,14.7,20.7,73.0,1.4,103.298
BOT,Kick Sauber,INTERMEDIATE,4,30,2,15,14.7,20.7,73.0,1.4,103.472
ZHO,Kick Sauber,INTERMEDIATE,3,29,4,19,14.7,20.7,73.0,1.4,101.993
NOR,McLaren,INTERMEDIATE,4,31,2,1,14.7,20.7,73.0,1.4,101.313
HAM,Mercedes,INTERMEDIATE,4,31,2,2,14.7,20.7,73.0,1.4,101.538
VER,Red Bull Racing,INTERMEDIATE,5,31,2,3,14.6,20.7,73.0,1.7,102.025
RUS,Mercedes,INTERMEDIATE,4,31,2,4,14.6,20.7,73.0,1.7,101.902
SAI,Ferrari,INTERMEDIATE,5,31,2,5,14.6,20.7,73.0,1.7,103.007
PIA,McLaren,INTERMEDIATE,3,31,2,6,14.6,20.7,73.0,1.7,102.161
LEC,Ferrari,INTERMEDIATE,3,30,3,16,14.6,20.7,73.0,1.7,102.299
HUL,Haas F1 Team,INTERMEDIATE,5,31,2,7,14.6,20.7,73.0,1.7,103.274
STR,Aston Martin,INTERMEDIATE,5,31,2,8,14.6,20.7,73.0,1.7,103.714
PER,Red Bull Racing,INTERMEDIATE,2,30,3,17,14.6,20.7,73.0,1.7,100.021
ALO,Aston Martin,INTERMEDIATE,4,31,2,9,14.6,20.7,73.0,1.7,102.796
TSU,RB,INTERMEDIATE,4,31,2,10,14.6,20.7,73.0,1.7,103.355
OCO,Alpine,INTERMEDIATE,4,30,4,18,14.6,20.7,73.0,1.7,103.336
ALB,Williams,INTERMEDIATE,4,31,2,11,14.6,20.7,73.0,1.7,103.229
MAG,Haas F1 Team,INTERMEDIATE,4,31,2,12,14.6,20.7,73.0,1.7,104.06
SAR,Williams,INTERMEDIATE,4,31,2,13,14.6,20.7,73.0,1.7,104.332
RIC,RB,INTERMEDIATE,5,31,2,14,14.6,20.7,73.0,1.7,103.699
BOT,Kick Sauber,INTERMEDIATE,5,31,2,15,14.5,20.7,73.0,1.6,104.51
ZHO,Kick Sauber,INTERMEDIATE,4,30,4,19,14.5,20.7,73.0,1.6,103.157
NOR,McLaren,INTERMEDIATE,5,32,2,1,14.5,20.7,73.0,1.6,102.216
HAM,Mercedes,INTERMEDIATE,5,32,2,2,14.5,20.7,73.0,1.6,102.475
VER,Red Bull Racing,INTERMEDIATE,6,32,2,3,14.5,20.7,73.0,1.6,102.538
RUS,Mercedes,INTERMEDIATE,5,32,2,4,14.5,20.7,73.0,1.6,103.085
SAI,Ferrari,INTERMEDIATE,6,32,2,5,14.5,20.7,73.0,1.6,103.298
PIA,McLaren,INTERMEDIATE,4,32,2,6,14.5,20.7,73.0,1.6,103.137
LEC,Ferrari,INTERMEDIATE,4,31,3,16,14.5,20.7,74.0,1.4,103.95
HUL,Haas F1 Team,INTERMEDIATE,6,32,2,7,14.5,20.7,74.0,1.4,104.134
STR,Aston Martin,INTERMEDIATE,6,32,2,8,14.5,20.7,74.0,1.4,104.545
PER,Red Bull Racing,INTERMEDIATE,3,31,3,17,14.5,20.7,74.0,1.4,102.676
ALO,Aston Martin,INTERMEDIATE,5,32,2,9,14.5,20.7,74.0,1.4,103.69
TSU,RB,INTERMEDIATE,5,32,2,10,14.5,20.7,74.0,1.4,104.456
OCO,Alpine,INTERMEDIATE,5,31,4,18,14.5,20.7,74.0,1.4,104.019
ALB,Williams,INTERMEDIATE,5,32,2,11,14.5,20.7,74.0,1.4,104.304
MAG,Haas F1 Team,INTERMEDIATE,5,32,2,12,14.5,20.7,74.0,1.4,105.084
SAR,Williams,INTERMEDIATE,5,32,2,13,14.5,20.7,74.0,1.4,104.912
RIC,RB,INTERMEDIATE,6,32,2,14,14.5,20.7,74.0,1.4,104.144
BOT,Kick Sauber,INTERMEDIATE,6,32,2,15,14.5,20.7,74.0,1.4,105.199
ZHO,Kick Sauber,INTERMEDIATE,5,31,4,19,14.6,21.0,75.0,0.5,104.316
NOR,McLaren,INTERMEDIATE,6,33,2,1,14.6,21.0,75.0,0.5,102.607
HAM,Mercedes,INTERMEDIATE,6,33,2,2,14.6,21.0,75.0,0.5,102.435
VER,Red Bull Racing,INTERMEDIATE,7,33,2,3,14.6,21.0,75.0,0.5,102.606
SAI,Ferrari,INTERMEDIATE,7,33,2,5,14.6,21.0,75.0,0.5,103.201
PIA,McLaren,INTERMEDIATE,5,33,2,6,14.6,21.0,75.0,0.5,103.325
LEC,Ferrari,INTERMEDIATE,5,32,3,16,14.6,21.0,75.0,0.5,103.795
HUL,Haas F1 Team,INTERMEDIATE,7,33,2,7,14.6,21.0,75.0,0.5,103.685
STR,Aston Martin,INTERMEDIATE,7,33,2,8,14.6,21.0,75.0,0.5,104.213
PER,Red Bull Racing,INTERMEDIATE,4,32,3,17,14.6,21.0,75.0,0.5,104.035
ALO,Aston Martin,INTERMEDIATE,6,33,2,9,14.6,21.2,76.0,1.6,104.262
TSU,RB,INTERMEDIATE,6,33,2,10,14.6,21.2,76.0,1.6,104.979
OCO,Alpine,INTERMEDIATE,6,32,4,18,14.6,21.2,76.0,1.6,104.673
ALB,Williams,INTERMEDIATE,6,33,2,11,14.6,21.2,76.0,1.6,104.82
MAG,Haas F1 Team,INTERMEDIATE,6,33,2,12,14.6,21.2,76.0,1.6,105.266
SAR,Williams,INTERMEDIATE,6,33,2,13,14.6,21.2,76.0,1.6,105.684
RIC,RB,INTERMEDIATE,7,33,2,14,14.6,21.2,76.0,1.6,104.855
BOT,Kick Sauber,INTERMEDIATE,7,33,2,15,14.6,21.2,76.0,1.6,105.552
ZHO,Kick Sauber,INTERMEDIATE,6,32,4,19,14.6,21.2,76.0,1.6,105.029
NOR,McLaren,INTERMEDIATE,7,34,2,1,14.6,21.2,76.0,1.6,103.078
HAM,Mercedes,INTERMEDIATE,7,34,2,2,14.6,21.3,76.0,1.5,102.757
VER,Red Bull Racing,INTERMEDIATE,8,34,2,3,14.6,21.3,76.0,1.5,102.447
SAI,Ferrari,INTERMEDIATE,8,34,2,4,14.6,21.3,76.0,1.5,102.794
PIA,McLaren,INTERMEDIATE,6,34,2,5,14.6,21.3,76.0,1.5,103.954
LEC,Ferrari,INTERMEDIATE,6,33,3,16,14.6,21.3,76.0,1.5,103.217
HUL,Haas F1 Team,INTERMEDIATE,8,34,2,6,14.6,21.3,76.0,1.5,104.263
STR,Aston Martin,INTERMEDIATE,8,34,2,7,14.6,21.3,76.0,1.5,104.171
PER,Red Bull Racing,INTERMEDIATE,5,33,3,17,14.6,21.3,76.0,1.5,104.641
ALO,Aston Martin,INTERMEDIATE,7,34,2,8,14.6,21.3,76.0,1.5,104.375
TSU,RB,INTERMEDIATE,7,34,2,9,14.6,21.3,76.0,1.5,104.923
OCO,Alpine,INTERMEDIATE,7,33,4,18,14.6,21.3,76.0,1.5,105.29
ALB,Williams,INTERMEDIATE,7,34,2,10,14.6,21.3,76.0,1.5,105.216
MAG,Haas F1 Team,INTERMEDIATE,7,34,2,11,14.5,21.2,75.0,1.4,106.135
SAR,Williams,INTERMEDIATE,7,34,2,12,14.5,21.2,75.0,1.4,106.095
RIC,RB,INTERMEDIATE,8,34,2,13,14.5,21.2,75.0,1.4,105.969
BOT,Kick Sauber,INTERMEDIATE,8,34,2,14,14.5,21.2,75.0,1.4,105.199
ZHO,Kick Sauber,INTERMEDIATE,7,33,4,19,14.5,21.2,75.0,1.4,105.412
NOR,McLaren,INTERMEDIATE,8,35,2,1,14.5,21.2,75.0,1.4,102.935
HAM,Mercedes,INTERMEDIATE,8,35,2,2,14.5,21.2,75.0,1.4,102.271
VER,Red Bull Racing,INTERMEDIATE,9,35,2,3,14.5,21.2,75.0,1.4,103.029
SAI,Ferrari,INTERMEDIATE,9,35,2,4,14.6,21.2,75.0,1.7,103.59
PIA,McLaren,INTERMEDIATE,7,35,2,5,14.6,21.2,75.0,1.7,103.309
LEC,Ferrari,INTERMEDIATE,7,34,3,15,14.6,21.2,75.0,1.7,103.604
HUL,Haas F1 Team,INTERMEDIATE,9,35,2,6,14.6,21.2,75.0,1.7,104.042
STR,Aston Martin,INTERMEDIATE,9,35,2,7,14.6,21.2,75.0,1.7,104.422
PER,Red Bull Racing,INTERMEDIATE,6,34,3,16,14.6,21.2,75.0,1.7,105.045
ALO,Aston Martin,INTERMEDIATE,8,35,2,8,14.6,21.2,75.0,1.7,104.251
TSU,RB,INTERMEDIATE,8,35,2,9,14.6,21.2,75.0,1.7,104.782
OCO,Alpine,INTERMEDIATE,8,34,4,17,14.6,21.2,75.0,1.7,105.511
ALB,Williams,INTERMEDIATE,8,35,2,10,14.6,21.2,75.0,1.7,105.202
MAG,Haas F1 Team,INTERMEDIATE,8,35,2,11,14.6,21.2,75.0,1.7,105.557
SAR,Williams,INTERMEDIATE,8,35,2,12,14.6,21.2,75.0,1.7,105.851
RIC,RB,INTERMEDIATE,9,35,2,13,14.6,21.2,75.0,1.7,105.535
BOT,Kick Sauber,INTERMEDIATE,9,35,2,14,14.5,21.4,76.0,1.2,105.476
NOR,McLaren,INTERMEDIATE,9,36,2,1,14.5,21.4,76.0,1.2,102.34
HAM,Mercedes,INTERMEDIATE,9,36,2,2,14.5,21.4,76.0,1.2,101.924
ZHO,Kick Sauber,INTERMEDIATE,8,34,4,18,14.5,21.4,76.0,1.2,108.01
VER,Red Bull Racing,INTERMEDIATE,10,36,2,3,14.5,21.4,76.0,1.2,101.958
SAI,Ferrari,INTERMEDIATE,10,36,2,4,14.5,21.4,76.0,1.2,102.748
PIA,McLaren,INTERMEDIATE,8,36,2,5,14.5,21.4,76.0,1.2,102.52
LEC,Ferrari,INTERMEDIATE,8,35,3,15,14.5,21.4,76.0,1.2,102.415
HUL,Haas F1 Team,INTERMEDIATE,10,36,2,6,14.6,22.5,78.0,1.3,103.044
STR,Aston Martin,INTERMEDIATE,10,36,2,7,14.6,22.5,78.0,1.3,103.0
PER,Red Bull Racing,INTERMEDIATE,7,35,3,16,14.6,22.5,78.0,1.3,103.534
ALO,Aston Martin,INTERMEDIATE,9,36,2,8,14.6,22.5,78.0,1.3,102.513
TSU,RB,INTERMEDIATE,9,36,2,9,14.6,22.5,78.0,1.3,102.726
OCO,Alpine,INTERMEDIATE,9,35,4,17,14.6,22.5,78.0,1.3,102.995
ALB,Williams,INTERMEDIATE,9,36,2,10,14.6,22.5,78.0,1.3,103.075
MAG,Haas F1 Team,INTERMEDIATE,9,36,2,11,14.6,22.5,78.0,1.3,103.611
SAR,Williams,INTERMEDIATE,9,36,2,12,14.6,22.5,78.0,1.3,103.365
RIC,RB,INTERMEDIATE,10,36,2,13,14.6,22.5,78.0,1.3,103.213
BOT,Kick Sauber,INTERMEDIATE,10,36,2,14,14.6,22.5,78.0,1.3,102.968
NOR,McLaren,INTERMEDIATE,10,37,2,1,14.6,23.8,77.0,1.8,99.786
HAM,Mercedes,INTERMEDIATE,10,37,2,2,14.6,23.8,77.0,1.8,99.711
ZHO,Kick Sauber,INTERMEDIATE,9,35,4,18,14.6,23.8,77.0,1.8,102.569
VER,Red Bull Racing,INTERMEDIATE,11,37,2,3,14.6,23.8,77.0,1.8,98.869
SAI,Ferrari,INTERMEDIATE,11,37,2,4,14.6,23.8,77.0,1.8,100.432
PIA,McLaren,INTERMEDIATE,9,37,2,5,14.6,23.8,77.0,1.8,99.635
LEC,Ferrari,INTERMEDIATE,9,36,3,15,14.6,23.8,77.0,1.8,100.091
HUL,Haas F1 Team,INTERMEDIATE,11,37,2,6,14.6,23.8,77.0,1.8,100.657
STR,Aston Martin,INTERMEDIATE,11,37,2,7,14.6,23.8,77.0,1.8,100.825
PER,Red Bull Racing,INTERMEDIATE,8,36,3,16,14.6,23.8,77.0,1.8,101.845
ALO,Aston Martin,INTERMEDIATE,10,37,2,8,14.6,23.8,77.0,1.8,100.747
TSU,RB,INTERMEDIATE,10,37,2,9,14.6,24.2,76.0,1.9,101.098
OCO,Alpine,INTERMEDIATE,10,36,4,17,14.6,24.2,76.0,1.9,101.215
ALB,Williams,INTERMEDIATE,10,37,2,10,14.6,24.2,76.0,1.9,100.273
SAR,Williams,INTERMEDIATE,10,37,2,13,14.6,24.2,76.0,1.9,102.207
NOR,McLaren,INTERMEDIATE,11,38,2,1,14.6,24.2,76.0,1.9,97.999
ZHO,Kick Sauber,INTERMEDIATE,10,36,4,18,14.6,24.2,76.0,1.9,102.823
SAI,Ferrari,INTERMEDIATE,12,38,2,5,14.6,24.6,78.0,1.4,98.37
HUL,Haas F1 Team,INTERMEDIATE,12,38,2,6,14.6,24.6,78.0,1.4,98.854
STR,Aston Martin,INTERMEDIATE,12,38,2,7,14.6,24.6,78.0,1.4,99.373
OCO,Alpine,INTERMEDIATE,11,37,4,17,14.6,24.6,78.0,1.4,102.235
MAG,Haas F1 Team,SOFT,2,39,3,11,15.1,24.4,74.0,0.8,93.212
RIC,RB,SOFT,2,39,3,13,15.1,24.4,74.0,0.8,93.138
HAM,Mercedes,SOFT,3,40,3,1,15.2,24.2,73.0,2.2,90.318
VER,Red Bull Racing,HARD,2,40,3,3,15.2,24.2,73.0,2.2,90.056
BOT,Kick Sauber,SOFT,2,39,3,14,15.2,24.2,73.0,2.2,97.114
PIA,McLaren,MEDIUM,2,40,3,4,15.2,24.2,73.0,2.2,89.913
LEC,Ferrari,SOFT,2,39,4,15,15.2,24.2,73.0,2.2,91.481
PER,Red Bull Racing,MEDIUM,2,39,4,16,15.3,24.2,76.0,1.1,92.722
ALO,Aston Martin,MEDIUM,2,40,3,8,15.3,24.2,76.0,1.1,91.146
TSU,RB,SOFT,2,40,3,9,15.3,24.2,76.0,1.1,92.318
ALB,Williams,MEDIUM,2,40,3,10,15.3,24.2,76.0,1.1,90.889
MAG,Haas F1 Team,SOFT,3,40,3,11,15.3,24.2,76.0,1.1,92.071
SAR,Williams,SOFT,2,40,3,12,15.3,24.2,76.0,1.1,91.353
RIC,RB,SOFT,3,40,3,13,15.3,24.2,76.0,1.1,92.428
HAM,Mercedes,SOFT,4,41,3,1,15.3,24.2,76.0,1.1,90.118
NOR,McLaren,SOFT,4,41,3,2,15.3,24.2,76.0,1.1,89.733
VER,Red Bull Racing,HARD,3,41,3,3,15.3,24.2,76.0,1.1,89.604
BOT,Kick Sauber,SOFT,3,40,3,14,15.3,24.2,76.0,1.1,92.973
PIA,McLaren,MEDIUM,3,41,3,4,15.3,24.2,76.0,1.1,89.574
SAI,Ferrari,HARD,2,41,3,5,15.3,24.7,75.0,0.8,90.475
ZHO,Kick Sauber,SOFT,3,39,5,18,15.3,24.7,75.0,0.8,92.696
LEC,Ferrari,SOFT,3,40,4,15,15.3,24.7,75.0,0.8,90.878
HUL,Haas F1 Team,SOFT,5,41,3,6,15.3,24.7,75.0,0.8,91.097
STR,Aston Martin,MEDIUM,2,41,3,7,15.3,24.7,75.0,0.8,90.098
ALO,Aston Martin,MEDIUM,3,41,3,8,15.3,24.7,75.0,0.8,90.594
PER,Red Bull Racing,MEDIUM,3,40,4,16,15.3,24.7,75.0,0.8,93.219
TSU,RB,SOFT,3,41,3,9,15.3,24.7,75.0,0.8,90.812
ALB,Williams,MEDIUM,3,41,3,10,15.3,24.7,75.0,0.8,90.715
MAG,Haas F1 Team,SOFT,4,41,3,11,15.3,24.7,75.0,0.8,90.61
SAR,Williams,SOFT,3,41,3,12,15.3,24.7,75.0,0.8,90.875
RIC,RB,SOFT,4,41,3,13,15.3,24.7,75.0,0.8,91.289
OCO,Alpine,MEDIUM,2,40,5,17,15.3,24.7,75.0,0.8,92.838
HAM,Mercedes,SOFT,5,42,3,1,15.2,25.0,75.0,1.4,89.617
NOR,McLaren,SOFT,5,42,3,2,15.2,25.0,75.0,1.4,90.006
VER,Red Bull Racing,HARD,4,42,3,3,15.2,25.0,75.0,1.4,89.472
PIA,McLaren,MEDIUM,4,42,3,4,15.2,25.0,75.0,1.4,89.581
BOT,Kick Sauber,SOFT,4,41,3,14,15.2,25.0,75.0,1.4,93.344
SAI,Ferrari,HARD,3,42,3,5,15.2,25.0,75.0,1.4,89.872
LEC,Ferrari,SOFT,4,41,4,15,15.2,25.0,75.0,1.4,90.035
ZHO,Kick Sauber,SOFT,4,40,5,18,15.2,25.0,75.0,1.4,93.17
HUL,Haas F1 Team,SOFT,6,42,3,6,15.2,25.0,75.0,1.4,90.701
STR,Aston Martin,MEDIUM,3,42,3,7,15.3,24.9,75.0,1.6,90.161
ALO,Aston Martin,MEDIUM,4,42,3,8,15.3,24.9,75.0,1.6,90.167
PER,Red Bull Racing,MEDIUM,4,41,4,16,15.3,24.9,75.0,1.6,90.689
TSU,RB,SOFT,4,42,3,9,15.3,24.9,75.0,1.6,90.319
ALB,Williams,MEDIUM,4,42,3,10,15.3,24.9,75.0,1.6,90.458
MAG,Haas F1 Team,SOFT,5,42,3,11,15.3,24.9,75.0,1.6,90.093
SAR,Williams,SOFT,4,42,3,12,15.3,24.9,75.0,1.6,89.972
RIC,RB,SOFT,5,42,3,13,15.3,24.9,75.0,1.6,90.765
OCO,Alpine,MEDIUM,3,41,5,17,15.3,24.9,75.0,1.6,91.114
HAM,Mercedes,SOFT,6,43,3,1,15.3,24.9,75.0,1.6,89.793
NOR,McLaren,SOFT,6,43,3,2,15.3,24.9,75.0,1.6,89.262
VER,Red Bull Racing,HARD,5,43,3,3,15.3,24.9,75.0,1.6,89.105
PIA,McLaren,MEDIUM,5,43,3,4,15.3,24.9,75.0,1.6,89.286
BOT,Kick Sauber,SOFT,5,42,3,14,15.4,24.5,72.0,2.0,92.348
SAI,Ferrari,HARD,4,43,3,5,15.4,24.5,72.0,2.0,89.872
LEC,Ferrari,SOFT,5,42,4,15,15.4,24.5,72.0,2.0,89.832
ZHO,Kick Sauber,SOFT,5,41,5,18,15.4,24.5,72.0,2.0,91.151
HUL,Haas F1 Team,SOFT,7,43,3,6,15.4,24.5,72.0,2.0,89.836
STR,Aston Martin,MEDIUM,4,43,3,7,15.4,24.5,72.0,2.0,90.196
ALO,Aston Martin,MEDIUM,5,43,3,8,15.4,24.5,72.0,2.0,90.098
PER,Red Bull Racing,MEDIUM,5,42,4,16,15.4,24.5,72.0,2.0,90.542
TSU,RB,SOFT,5,43,3,9,15.4,24.5,72.0,2.0,90.229
ALB,Williams,MEDIUM,5,43,3,10,15.4,24.5,72.0,2.0,90.126
MAG,Haas F1 Team,SOFT,6,43,3,11,15.4,24.5,72.0,2.0,90.454
SAR,Williams,SOFT,5,43,3,12,15.4,24.5,72.0,2.0,90.162
RIC,RB,SOFT,6,43,3,13,15.4,24.5,73.0,2.0,91.198
OCO,Alpine,MEDIUM,4,42,5,17,15.4,24.5,73.0,2.0,91.187
HAM,Mercedes,SOFT,7,44,3,1,15.4,24.5,73.0,2.0,89.697
NOR,McLaren,SOFT,7,44,3,2,15.4,24.5,73.0,2.0,89.752
VER,Red Bull Racing,HARD,6,44,3,3,15.4,24.5,73.0,2.0,89.372
PIA,McLaren,MEDIUM,6,44,3,4,15.4,24.5,73.0,2.0,89.221
BOT,Kick Sauber,SOFT,6,43,3,14,15.4,24.5,73.0,2.0,91.732
SAI,Ferrari,HARD,5,44,3,5,15.4,24.5,73.0,2.0,89.739
LEC,Ferrari,SOFT,6,43,4,15,15.4,24.5,73.0,2.0,89.748
ZHO,Kick Sauber,SOFT,6,42,5,18,15.4,24.5,73.0,2.0,91.121
HUL,Haas F1 Team,SOFT,8,44,3,6,15.4,24.5,73.0,2.0,90.392
STR,Aston Martin,MEDIUM,5,44,3,7,15.5,25.0,73.0,2.0,90.03
ALO,Aston Martin,MEDIUM,6,44,3,8,15.5,25.0,73.0,2.0,89.93
PER,Red Bull Racing,MEDIUM,6,43,4,16,15.5,25.0,73.0,2.0,90.229
TSU,RB,SOFT,6,44,3,9,15.5,25.0,73.0,2.0,90.882
ALB,Williams,MEDIUM,6,44,3,10,15.5,25.0,73.0,2.0,90.74
SAR,Williams,SOFT,6,44,3,11,15.5,25.0,73.0,2.0,90.003
MAG,Haas F1 Team,SOFT,7,44,3,12,15.5,25.0,73.0,2.0,91.342
RIC,RB,SOFT,7,44,3,13,15.5,25.0,73.0,2.0,91.08
OCO,Alpine,MEDIUM,5,43,5,17,15.5,25.0,73.0,2.0,91.084
HAM,Mercedes,SOFT,8,45,3,1,15.5,25.0,73.0,2.0,89.438
NOR,McLaren,SOFT,8,45,3,2,15.5,25.0,73.0,2.0,89.635
VER,Red Bull Racing,HARD,7,45,3,3,15.5,25.0,73.0,2.0,89.137
PIA,McLaren,MEDIUM,7,45,3,4,15.5,25.0,73.0,2.0,89.222
BOT,Kick Sauber,SOFT,7,44,3,14,15.5,25.0,71.0,2.0,91.277
SAI,Ferrari,HARD,6,45,3,5,15.5,25.0,71.0,2.0,89.589
LEC,Ferrari,SOFT,7,44,4,15,15.5,25.0,71.0,2.0,89.933
ZHO,Kick Sauber,SOFT,7,43,5,18,15.5,25.0,71.0,2.0,91.014
HUL,Haas F1 Team,SOFT,9,45,3,6,15.5,25.0,71.0,2.0,90.048
STR,Aston Martin,MEDIUM,6,45,3,7,15.5,25.0,71.0,2.0,90.025
ALO,Aston Martin,MEDIUM,7,45,3,8,15.5,25.0,71.0,2.0,89.871
PER,Red Bull Racing,MEDIUM,7,44,4,16,15.5,25.0,71.0,2.0,90.518
ALB,Williams,MEDIUM,7,45,3,9,15.5,25.0,71.0,2.0,90.406
TSU,RB,SOFT,7,45,3,10,15.5,25.0,71.0,2.0,91.438
SAR,Williams,SOFT,7,45,3,11,15.5,25.0,71.0,2.0,90.613
MAG,Haas F1 Team,SOFT,8,45,3,12,15.5,25.0,71.0,2.0,91.722
RIC,RB,SOFT,8,45,3,13,15.6,24.9,69.0,0.9,90.955
OCO,Alpine,MEDIUM,6,44,5,17,15.6,24.9,69.0,0.9,90.928
HAM,Mercedes,SOFT,9,46,3,1,15.6,24.9,69.0,0.9,89.641
NOR,McLaren,SOFT,9,46,3,2,15.6,24.9,69.0,0.9,89.96
VER,Red Bull Racing,HARD,8,46,3,3,15.6,24.9,69.0,0.9,89.543
PIA,McLaren,MEDIUM,8,46,3,4,15.6,24.9,69.0,0.9,89.233
SAI,Ferrari,HARD,7,46,3,5,15.6,24.9,69.0,0.9,89.588
BOT,Kick Sauber,SOFT,8,45,3,14,15.6,24.9,69.0,0.9,93.159
LEC,Ferrari,SOFT,8,45,4,15,15.6,24.9,69.0,0.9,89.911
ZHO,Kick Sauber,SOFT,8,44,5,18,15.6,24.9,69.0,0.9,91.378
HUL,Haas F1 Team,SOFT,10,46,3,6,15.6,24.9,69.0,0.9,90.185
STR,Aston Martin,MEDIUM,7,46,3,7,15.6,24.9,71.0,1.1,89.897
ALO,Aston Martin,MEDIUM,8,46,3,8,15.6,24.9,71.0,1.1,89.753
